out_sensorName,timeStep,in_sensorName
1239093,1,1265886
1272677,0,1241060
12059326,3,121001920
1031441,1,1046206
1055155,1,1027840
1012192,0,1060109
1023820,0,1010054
1031441,2,1271410
1059089,0,1201412
1054325,0,1280377
1033097,0,1280634
1302828,0,1309765
126951211,0,104115939
1297580,1,1297081
1265886,4,1270717
1239711,2,1308319
1046600,1,1246177
1237528,1,1236019
1027844,0,1301920
126951211,2,127620712
1004639,0,1224666
1302832,1,1059089
1307235,2,1306673
1211726,4,1259695
1011408,1,1248589
1034753,3,1211726
1046206,1,1031437
1057319,0,1256899
1306828,0,1031619
1229282,3,1247962
1303367,0,130336727
1048068,0,1307588
130336714,0,12059326
1030718,4,1049757
1241060,0,1030718
1270653,2,1272676
1303797,0,1302954
1030718,3,1280679
1308463,0,1287413
1256899,0,1241059
1049757,0,1241060
1270653,0,1280377
1309765,0,1011408
1240117,0,1035503
1010055,1,1206468
1302595,0,1239711
1031620,0,1032128
1031437,2,1031440
1226015,0,1302595
1033248,4,1306434
1307094,0,1306673
1027842,1,1061733
12059326,2,10331815
1270717,3,1265886
1242364,0,1046206
1302078,0,1302898
1049589,2,1034753
1027840,0,1223683
1306930,0,1307450
1265886,2,1270795
1302837,1,1297264
1297265,0,1239711
1027838,2,1027841
1033100,0,1243859
1060109,0,1300838
1031558,2,1297272
1259380,1,1302595
1241258,1,1286660
1302829,0,1306548
1306690,0,1253632
1211726,2,1056955
1021860,0,1233363
1236500,0,1241258
1246797,0,1302824
1301175,2,1306673
1247290,4,1270653
1297272,3,1048068
1033098,0,1033097
1270795,0,1239093
1027840,1,1290383
1031560,0,1236019
1300838,3,1060109
1248589,2,1032128
1302824,0,1246797
1201412,2,1257118
1297268,1,1297295
121001920,0,10331815
1265534,1,1297081
1306690,1,1035503
1309766,2,1300879
1306931,0,1302832
1031442,2,1031440
1302627,1,1027838
1297262,0,1308366
1306897,3,130336727
122974121,3,121001920
1270340,0,1236019
126947610,0,12059326
1027841,0,1270653
1297081,3,1297580
122974121,2,12059326
12059326,1,122974132
1033189,0,1035503
1296535,2,1237377
1031129,1,1031558
1223234,0,1275449
1259695,1,1211726
104115939,1,104115918
1247962,4,1023820
1012192,3,1236540
1248210,0,1255230
1259380,0,1208725
1265886,0,1270795
1299972,0,1265886
1211726,1,1031440
1272677,2,1030718
1302835,0,1259380
1257546,3,1027842
1226706,2,1031437
12469399,0,12297418
1253632,0,1306690
1246177,0,1223683
1248589,0,1309765
1058264,0,1266765
1211726,0,1031437
1251228,1,1054325
1257546,0,1302825
1227711,0,1308366
1307449,1,1049757
1297122,1,1307235
1303367,2,1306897
1031619,2,1307757
1286660,2,1297580
1026370,2,1247962
1241613,0,1239192
1272676,1,1302627
1011408,3,1031620
1241990,1,1026370
1246872,3,1272676
1046206,2,1230839
1302827,3,1030718
1303367,1,1301175
1201412,0,1059089
122974132,1,122974121
1026370,0,1247962
1309765,2,1011408
1272676,0,1027841
1280679,2,1302827
1031619,1,1301383
1302598,0,1027837
1241990,0,1229282
1031620,4,1032456
1027837,0,1259695
1023145,0,1288092
1031442,0,1271410
1309765,1,1032456
1297333,0,1297202
1275448,1,1031442
1206468,0,1041498
1031619,0,1303087
1031442,1,1031441
1285889,0,130336727
1247267,1,1297262
1031620,1,1309765
1275448,2,1031441
1253132,0,1027842
1302834,0,1223683
1061733,1,1035508
1285889,1,1303367
1253132,1,1224666
1241059,0,1030718
1302826,1,1297333
1031441,0,1046206
1306434,1,1307187
1061733,2,1064041
1308366,0,1297262
1237377,1,1306690
1030618,0,1302954
1060109,2,1012192
1280298,1,1242723
1237377,3,1240117
1235466,0,1201412
1301293,0,1303584
10430211,0,126947610
1057319,2,1280679
1306828,3,1307757
1030718,1,1049757
1303797,3,1302078
1049757,2,1030718
1270717,1,1270795
1027842,4,1224666
1049589,4,1034753
1297265,2,1032372
1306548,0,1030618
